Ano;Codigo da Area;Area de Avaliacao;Grau Academico;Codigo da IES;Nome da IES*;Sigla da IES*;Organizacao Academica;Categoria Administrativa;Codigo do Curso;Modalidade de Ensino;Codigo do Municipio**;Municipio do Curso**;Sigla da UF** ;NUMERO de Concluintes Inscritos;NUMERO  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Continuo);Conceito Enade (Faixa);Observacao
2021;2501;ARTES VISUAIS ;Licenciatura;2;UNIVERSIDADE DE BRASILIA;UNB;Universidade;Publica Federal;151;Educacao Presencial;5300108;Brasilia;DF;54;41;"45,814";"3,771";"61,907";"3,947";"3,903";4;
2021;2501;ARTES VISUAIS ;Licenciatura;2;UNIVERSIDADE DE BRASILIA;UNB;Universidade;Publica Federal;52159;Educacao Presencial;5300108;Brasilia;DF;34;28;"40,496";"2,988";"51,514";"2,64";"2,727";3;
2021;2501;ARTES VISUAIS ;Licenciatura;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Publica Federal;80419;Educacao Presencial;2806701;Sao Cristovao;SE;33;33;"36,445";"2,392";"51,121";"2,59";"2,541";3;
2021;2501;ARTES VISUAIS ;Licenciatura;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Publica Federal;62512;Educacao Presencial;1302603;Manaus;AM;27;23;"43,569";"3,441";"54,447";"3,009";"3,117";4;
2021;2501;ARTES VISUAIS ;Licenciatura;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Publica Federal;112126;Educacao a Distancia;1302603;Manaus;AM;65;59;"25,818";"0,828";"33,503";"0,374";"0,488";1;
2021;2501;ARTES VISUAIS ;Licenciatura;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Publica Federal;1103469;Educacao Presencial;1303403;Parintins;AM;25;20;"23,215";"0,445";"30,525";0;"0,111";1;
2021;2501;ARTES VISUAIS ;Licenciatura;5;UNIVERSIDADE FEDERAL DO PIAUI;UFPI;Universidade;Publica Federal;1105133;Educacao Presencial;2211001;Teresina;PI;52;37;"37,086";"2,487";"52,327";"2,742";"2,678";3;
2021;2501;ARTES VISUAIS ;Licenciatura;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Publica Estadual;1146843;Educacao Presencial;4113700;Londrina;PR;42;41;"39,846";"2,893";"54,931";"3,07";"3,025";4;
2021;2501;ARTES VISUAIS ;Licenciatura;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Publica Federal;1044;Educacao Presencial;4315602;Rio Grande;RS;18;16;"37,237";"2,509";"50,831";"2,554";"2,543";3;
2021;2501;ARTES VISUAIS ;Licenciatura;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;112356;Educacao Presencial;4305108;Caxias do Sul;RS;21;18;"38,122";"2,639";"50,122";"2,465";"2,508";3;
2021;2501;ARTES VISUAIS ;Licenciatura;17;UNIVERSIDADE FEDERAL DE UBERLANDIA;UFU;Universidade;Publica Federal;111378;Educacao Presencial;3170206;Uberlandia;MG;34;30;"45,536";"3,73";"62,633";"4,038";"3,961";5;
2021;2501;ARTES VISUAIS ;Licenciatura;19;PONTIFICIA UNIVERSIDADE CATOLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;21865;Educacao Presencial;3509502;Campinas;SP;11;6;"44,983";"3,649";"50,216";"2,477";"2,77";3;
2021;2501;ARTES VISUAIS ;Licenciatura;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;88502;Educacao Presencial;4314100;Passo Fundo;RS;11;9;"32,188";"1,766";"54,333";"2,994";"2,687";3;
2021;2501;ARTES VISUAIS ;Licenciatura;23;UNIVERSIDADE FEEVALE;FEEVALE;Universidade;Privada sem fins lucrativos;58330;Educacao Presencial;4313409;Novo Hamburgo;RS;11;9;"35,188";"2,207";"47,177";"2,094";"2,123";3;
2021;2501;ARTES VISUAIS ;Licenciatura;29;UNIVERSIDADE ESTADUAL DO CEARA;UECE;Universidade;Publica Estadual;1152477;Educacao a Distancia;2304400;Fortaleza;CE;9;4;"35,75";"2,29";"59,725";"3,673";"3,327";4;
2021;2501;ARTES VISUAIS ;Licenciatura;43;FUNDACAO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;Universidade;Publica Estadual;117352;Educacao Presencial;4205407;Florianopolis;SC;24;22;"49,531";"4,318";"57,586";"3,404";"3,632";4;
2021;2501;ARTES VISUAIS ;Licenciatura;54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;Universidade;Publica Estadual;91972;Educacao Presencial;3509502;Campinas;SP;24;15;"54,16";5;"70,273";5;5;5;
2021;2501;ARTES VISUAIS ;Licenciatura;56;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;UNESP;Universidade;Publica Estadual;94725;Educacao Presencial;3550308;Sao Paulo;SP;61;53;"52,147";"4,703";"68,262";"4,747";"4,736";5;
2021;2501;ARTES VISUAIS ;Licenciatura;56;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;UNESP;Universidade;Publica Estadual;1212284;Educacao Presencial;3506003;Bauru;SP;30;28;"42,089";"3,223";"64,85";"4,317";"4,044";5;
2021;2501;ARTES VISUAIS ;Licenciatura;57;UNIVERSIDADE ESTADUAL DE MARINGA;UEM;Universidade;Publica Estadual;5000539;Educacao Presencial;4115200;Maringa;PR;43;38;"42,807";"3,329";"58,636";"3,536";"3,484";4;
2021;2501;ARTES VISUAIS ;Licenciatura;76;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;Universidade;Publica Municipal;1178043;Educacao Presencial;4202404;Blumenau;SC;15;14;"35,664";"2,277";"59,907";"3,696";"3,341";4;
2021;2501;ARTES VISUAIS ;Licenciatura;125;CENTRO UNIVERSITARIO DE ARARAS -;UNAR;Centro Universitario;Privada sem fins lucrativos;1143413;Educacao a Distancia;3503307;Araras;SP;560;316;"26,819";"0,975";"39,41";"1,117";"1,082";2;
2021;2501;ARTES VISUAIS ;Licenciatura;150;UNIVERSIDADE DE SOROCABA;UNISO;Universidade;Privada sem fins lucrativos;1111550;Educacao Presencial;3552205;Sorocaba;SP;14;14;"37,164";"2,498";"54,457";"3,01";"2,882";3;
2021;2501;ARTES VISUAIS ;Licenciatura;206;CENTRO UNIVERSITARIO ITALO-BRASILEIRO;UNIITALO;Centro Universitario;Privada sem fins lucrativos;109871;Educacao Presencial;3550308;Sao Paulo;SP;22;18;"30,222";"1,476";"49,061";"2,331";"2,117";3;
2021;2501;ARTES VISUAIS ;Licenciatura;206;CENTRO UNIVERSITARIO ITALO-BRASILEIRO;UNIITALO;Centro Universitario;Privada sem fins lucrativos;1487895;Educacao a Distancia;3550308;Sao Paulo;SP;5;0;;;;;;SC;
2021;2501;ARTES VISUAIS ;Licenciatura;221;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Universidade;Privada com fins lucrativos;70395;Educacao Presencial;3550308;Sao Paulo;SP;31;26;"33,63";"1,978";"53,2";"2,852";"2,633";3;
2021;2501;ARTES VISUAIS ;Licenciatura;221;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Universidade;Privada com fins lucrativos;1321293;Educacao a Distancia;3550308;Sao Paulo;SP;178;121;"32,897";"1,87";"44,751";"1,789";"1,809";2;
2021;2501;ARTES VISUAIS ;Licenciatura;265;CENTRO UNIVERSITARIO DAS FACULDADES INTEGRADAS DE OURINHOS;Unifio;Centro Universitario;Privada sem fins lucrativos;23315;Educacao Presencial;3534708;Ourinhos;SP;11;10;"23,34";"0,463";"50,86";"2,557";"2,034";3;
2021;2501;ARTES VISUAIS ;Licenciatura;271;UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Universidade;Privada sem fins lucrativos;6481;Educacao Presencial;3541406;Presidente Prudente;SP;7;0;;;;;;SC;
2021;2501;ARTES VISUAIS ;Licenciatura;275;UNIVERSIDADE DO VALE DO PARAIBA;UNIVAP;Universidade;Privada sem fins lucrativos;101578;Educacao Presencial;3549904;Sao Jose dos Campos;SP;10;8;"37,525";"2,551";54;"2,952";"2,852";3;
2021;2501;ARTES VISUAIS ;Licenciatura;298;Universidade Pitagoras Unopar Anhanguera;;Universidade;Privada com fins lucrativos;1266926;Educacao a Distancia;4113700;Londrina;PR;95;88;"29,307";"1,342";"44,306";"1,733";"1,635";2;
2021;2501;ARTES VISUAIS ;Licenciatura;322;UNIVERSIDADE PAULISTA;UNIP;Universidade;Privada com fins lucrativos;1285868;Educacao a Distancia;3550308;Sao Paulo;SP;465;314;"29,834";"1,419";"42,334";"1,485";"1,469";2;
2021;2501;ARTES VISUAIS ;Licenciatura;367;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES;Universidade;Publica Estadual;92597;Educacao Presencial;3143302;Montes Claros;MG;14;6;"30,9";"1,576";"49,433";"2,378";"2,178";3;
2021;2501;ARTES VISUAIS ;Licenciatura;370;FACULDADE PAULISTA DE ARTES;FPA;Faculdade;Privada sem fins lucrativos;28184;Educacao Presencial;3550308;Sao Paulo;SP;39;31;"36,57";"2,411";"50,051";"2,456";"2,445";3;
2021;2501;ARTES VISUAIS ;Licenciatura;374;CENTRO UNIVERSITARIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;Centro Universitario;Privada com fins lucrativos;111006;Educacao Presencial;3550308;Sao Paulo;SP;82;67;"42,307";"3,255";"54,841";"3,058";"3,108";4;
