CAMPUS;CURSO
Abaetetuba;001 - Agroecologia - Tecnológico (Extensivo/Integral/Entrada 2)
Abaetetuba;002 - Engenharia de Produção - Bacharelado (Extensivo/Integral/Entrada 1)
Abaetetuba;003 - Física - Licenciatura (Extensivo/Vespertino/Entrada 1)
Abaetetuba (Oferta em Acará);004 - Letras - Espanhol - Licenciatura (Intensivo/Integral/Entrada 2)
Abaetetuba;005 - Letras - Português - Licenciatura (Intensivo/Integral/Entrada 2)
Abaetetuba;006 - Matemática - Licenciatura (Extensivo/Noturno/Entrada 2)
Abaetetuba;007 - *Pedagogia - Licenciatura (Extensivo/Vespertino/Entrada 1)
Abaetetuba;008 - *Pedagogia - Licenciatura (Extensivo/Vespertino/Entrada 2)
Abaetetuba;009 - Pedagogia - Licenciatura (Extensivo/Noturno/Entrada 2)
Altamira;010 - Agronomia - Bacharelado (Extensivo/Integral/Entrada 1)
Altamira;011 - Ciências Biológicas - Licenciatura (Extensivo/Vespertino/Entrada 1)
Altamira;012 - Engenharia Florestal - Bacharelado (Extensivo/Integral/Entrada 1)
Altamira;013 - Geografia - Licenciatura (Extensivo/Noturno/Entrada 1)
Altamira;014 - Letras - Inglês - Licenciatura (Extensivo/Matutino/Entrada 2)
Altamira;015 - Letras - Português - Licenciatura (Extensivo/Vespertino/Entrada 2)
Altamira (Oferta em Uruará);016 - Letras - Português - Licenciatura (Intensivo/Integral/Entrada 2)
Altamira;017 - *Medicina - Bacharelado (Extensivo/Integral/Entrada 1)
Altamira;018 - *Medicina - Bacharelado (Extensivo/Integral/Entrada 2)
Altamira;019 - Pedagogia - Licenciatura (Extensivo/Matutino/Entrada 2)
Altamira;020 - Pedagogia - Licenciatura (Extensivo/Noturno/Entrada 1)
Ananindeua;021 - Engenharia de Materiais - Bacharelado (Extensivo/Matutino/Entrada 1)
Ananindeua;022 - Física - Licenciatura (Intensivo/Integral/Entrada 2)
Ananindeua;023 - Geografia - Licenciatura (Extensivo/Vespertino/Entrada 1)
Ananindeua;024 - Geoprocessamento - Tecnológico (Extensivo/Matutino/Entrada 1)
Ananindeua;025 - História - Licenciatura (Extensivo/Vespertino/Entrada 2)
Ananindeua;026 - Engenharia de Energia - Bacharelado (Extensivo/Vespertino/Entrada 1)
Ananindeua;027 - Química - Licenciatura (Intensivo/Integral/Entrada 2)
Belém;028 - Administração - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;029 - Administração - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;030 - Administração - Bacharelado (Extensivo/Noturno/Entrada 1)
Belém;031 - Arquitetura e Urbanismo - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;032 - Arquitetura e Urbanismo - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;033 - Arquivologia - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;034 - Artes Visuais - Licenciatura (Extensivo/Vespertino/Entrada 1)
Belém;035 - Biblioteconomia - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;036 - Biblioteconomia - Bacharelado (Extensivo/Noturno/Entrada 1)
