instituto;tipo;valor;
ICB;total;790160;
ICB;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;543807;
ICB;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;109364;
ICB;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;49134;
ICB;Viagem de Campo - do Instituto;29659;
ICB;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;58196;
ICS;total;540920;
ICS;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;492846;
ICS;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;12978;
ICS;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0;
ICS;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
ICS;Viagem de Campo - do Instituto;3539;
ICS;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;16557;
ICS;Tecnologia da Informação - AQUISIÇÃO DE EQUIPAMENTOS DE TI PARA AS UNIDADES ACADÊMICAS;0;
ICEN;total;419478;
ICEN;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;334764;
ICEN;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;57398;
ICEN;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
ICEN;Capacitação de Servidores Públicos;5000;
ICEN;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;22316;
ICJ;total;193368;
ICJ;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;153483;
ICJ;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;245536;
ICJ;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
ICJ;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;15349;
ICED;total;268369;
ICED;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;199310;
ICED;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;45000;
ICED;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
ICED;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;24058;
IFCH;total;367097;
IFCH;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;297250;
IFCH;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;21000;
IFCH;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0;
IFCH;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
IFCH;Viagem de Campo - do Instituto;26021;
IFCH;Viagem de Campo - da Faculdade de Geografia e Cartografia;3826;
IFCH;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;19000;
ILC;total;308210;
ILC;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;165850;
ILC;Matriz Orçamentária - INCENTIVO A PERMANÊNCIA ESCOLAR DOS DISCENTES DO ILC;61000;
ILC;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;46360;
ILC;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
ILC;Acervo Bibliográfico;0;
ILC;Capacitação de Servidores Públicos;5000;
ILC;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;30000;
ICSA;total;370145;
ICSA;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;266081;
ICSA;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;35000;
ICSA;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0;
ICSA;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
ICSA;Viagem de Campo - DA FACULDADE DE TURISMO;56064;
ICSA;Acervo Bibliográfico;0;
ICSA;Capacitação de Servidores Públicos;5000;
ICSA;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;8000;
ITEC;total;611888;
ITEC;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;461990;
ITEC;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;51000;
ITEC;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0;
ITEC;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0;
ITEC;Viagem de Campo - VISITAS TÉCNICAS DO ITEC;60710;
ITEC;Capacitação de Servidores Públicos;18000;
ITEC;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;20188;
ICA;total;2275957;
ICA;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;229547;
ICA;Apoio à Graduação;116047;
ICA;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;9500;
ICA;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0;
