instituto;tipo;valor
ICB;total;807897
ICB;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;533807
ICB;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;169910
ICB;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICB;Viagem de Campo - do Instituto;31794
ICB;Capacitação de Servidores Públicos;10000
UCB;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;62386
ICS;total;689030
ICS;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;539826
ICS;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;78232
ICS;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ICS;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICS;Viagem de Campo - do Instituto;1062
ICS;Capacitação de Servidores Públicos;20000
ICS;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;49910
ICEN;total;567907
ICEN;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;404387
ICEN;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;96141
ICEN;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICEN;Capacitação de Servidores Públicos;6040
ICEN;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;61339
ICJ;total;215418
ICJ;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;153483
ICJ;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;37811
ICJ;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICJ;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;24124
ICED;total;340312
ICED;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;215375
ICED;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;76276
ICED;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICED;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;48661
IFCH;total;458843
IFCH;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;287250
IFCH;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;80432
IFCH;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
IFCH;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
IFCH;Viagem de Campo - do Instituto;26021
IFCH;Viagem de Campo - da Faculdade de Geografia e Cartografia;3826
IFCH;Capacitação de Servidores Públicos;10000
IFCH;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;51314
ILC;total;363599
ILC;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;165850
ILC;Matriz Orçamentária - INCENTIVO A PERMANÊNCIA ESCOLAR DOS DISCENTES DO ILC;61000
ILC;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;80434
ILC;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ILC;Acervo Bibliográfico;3025
ILC;Capacitação de Servidores Públicos;5000
ILC;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;48290
ICSA;total;473559
ICSA;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;293910
ICSA;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;77666
ICSA;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ICSA;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICSA;Viagem de Campo - DA FACULDADE DE TURISMO;39245
ICSA;Acervo Bibliográfico;5000
ICSA;Capacitação de Servidores Públicos;5000
ICSA;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;52738
ITEC;total;825865
ITEC;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;562127
ITEC;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;112125
ITEC;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ITEC;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ITEC;Viagem de Campo - VISITAS TÉCNICAS DO ITEC;65081
ITEC;Capacitação de Servidores Públicos;15000
ITEC;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;71532
ICA;total;2701819
ICA;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;229546
ICA;Apoio à Graduação;124402
ICA;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;37159
ICA;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ICA;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICA;Educação Profissional - MANUTENÇÃO DA ESCOLA DE MÚSICA - EMUFPA/ICA;778759
ICA;Educação Profissional - MANUTENÇÃO DA ESCOLA DE TEATRO E DANÇA - ETDUFPA/ICA;883363
ICA;Educação Profissional - TECNOLOGIA DA INFORMAÇÃO DA ESCOLA DE MÚSICA - EMUFPA/ICA;107843
ICA;Educação Profissional - TECNOLOGIA DA INFORMAÇÃO DA ESCOLA DE TEATRO E DANÇA - ETDUFPA/ICA;116171
ICA;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;23704
ICA;Assistência ao Educando do Ensino Técnico - ASSISTÊNCIA ESTUDANTIL NA EPT - EMUFPA/ICA;188435
ICA;Assistência ao Educando do Ensino Técnico - ASSISTÊNCIA ESTUDANTIL NA EPT - ETDUFPA/ICA;212437
