Nome;Instituto
                    MATEMÁTICA (LICENCIATURA);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                       QUÍMICA (LICENCIATURA);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                    MATEMÁTICA (LICENCIATURA);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                     FILOSOFIA (LICENCIATURA);IFCH - INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS
                        QUÍMICA (BACHARELADO);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                          CIÊNCIAS ECONÔMICAS;ICSA - INSTITUTO DE CIENCIAS SOCIAIS APLICADAS
                     GEOGRAFIA (LICENCIATURA);IFCH - INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS
           CIÊNCIAS BIOLÓGICAS (LICENCIATURA);ICB - INSTITUTO DE CIENCIAS BIOLOGICAS
                 ARTES VISUAIS (LICENCIATURA);ICA - INSTITUTO DE CIENCIAS DA ARTE
                         FÍSICA (BACHARELADO);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
               CIÊNCIAS SOCIAIS (BACHARELADO);IFCH - INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS
                        MÚSICA (LICENCIATURA);ICA - INSTITUTO DE CIENCIAS DA ARTE
           CIÊNCIAS BIOLÓGICAS (LICENCIATURA);ICB - INSTITUTO DE CIENCIAS BIOLOGICAS
              LETRAS-PORTUGUÊS (LICENCIATURA);ILC - INSTITUTO DE LETRAS E COMUNICACAO
                     ENGENHARIA DA COMPUTAÇÃO;ITEC - INSTITUTO DE TECNOLOGIA
                        FÍSICA (LICENCIATURA);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                              Letras - Inglês;ILC - INSTITUTO DE LETRAS E COMUNICACAO
                                     MEDICINA;ICM - INSTITUTO DE CIENCIAS MEDICAS
                           ENGENHARIA QUÍMICA;ITEC - INSTITUTO DE TECNOLOGIA
              CIÊNCIAS SOCIAIS (LICENCIATURA);IFCH - INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS
                         ENGENHARIA AMBIENTAL;ITEC - INSTITUTO DE TECNOLOGIA
                          ENGENHARIA MECÂNICA;ITEC - INSTITUTO DE TECNOLOGIA
                       QUÍMICA (LICENCIATURA);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                          ENGENHARIA ELÉTRICA;ITEC - INSTITUTO DE TECNOLOGIA
                       SISTEMAS DE INFORMAÇÃO;ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                                      TURISMO;ICSA - INSTITUTO DE CIENCIAS SOCIAIS APLICADAS
            CIÊNCIAS BIOLÓGICAS (BACHARELADO);ICB - INSTITUTO DE CIENCIAS BIOLOGICAS
                      HISTÓRIA (LICENCIATURA);IFCH - INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS
                          ENGENHARIA ELÉTRICA;ITEC - INSTITUTO DE TECNOLOGIA
                      FILOSOFIA (BACHARELADO);IFCH - INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS
                           ENGENHARIA QUÍMICA;ITEC - INSTITUTO DE TECNOLOGIA
                     PEDAGOGIA (LICENCIATURA);ICED - INSTITUTO DE CIENCIAS DA EDUCACAO
                          ENGENHARIA MECÂNICA;ITEC - INSTITUTO DE TECNOLOGIA
                             ENGENHARIA CIVIL;ITEC - INSTITUTO DE TECNOLOGIA
              LETRAS-PORTUGUÊS (LICENCIATURA);ILC - INSTITUTO DE LETRAS E COMUNICACAO
                                   ENGENHARIA;
                      ENGENHARIA DE ALIMENTOS;ITEC - INSTITUTO DE TECNOLOGIA
                      GEOGRAFIA (BACHARELADO);IFCH - INSTITUTO DE FILOSOFIA E CIENCIAS HUMANAS
          CIÊNCIA DA COMPUTAÇÃO (BACHARELADO);ICEN - INSTITUTO DE CIENCIAS EXATAS E NATURAIS
                         ENGENHARIA AMBIENTAL;ITEC - INSTITUTO DE TECNOLOGIA
                           CIÊNCIAS CONTÁBEIS;ICSA - INSTITUTO DE CIENCIAS SOCIAIS APLICADAS
                                   ENGENHARIA;
                                  BIOMEDICINA;ICB - INSTITUTO DE CIENCIAS BIOLOGICAS
                      ENGENHARIA DE ALIMENTOS;ITEC - INSTITUTO DE TECNOLOGIA
                                ADMINISTRAÇÃO;ICSA - INSTITUTO DE CIENCIAS SOCIAIS APLICADAS
                             ENGENHARIA CIVIL;ITEC - INSTITUTO DE TECNOLOGIA
                                  ODONTOLOGIA;ICS - INSTITUTO DE CIENCIAS DA SAUDE
                                   ENFERMAGEM;ICS - INSTITUTO DE CIENCIAS DA SAUDE
                                     FARMÁCIA;ICS - INSTITUTO DE CIENCIAS DA SAUDE
