Nome;Sede;Campus;Modalidade;Coordenador
AGROECOLOGIA;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;RICARDO EDUARDO DE FREITAS MAIA
AGROECOLOGIA;ACAR?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;RICARDO EDUARDO DE FREITAS MAIA
AGROECOLOGIA;TOM?-A??;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;RICARDO EDUARDO DE FREITAS MAIA
EDUCACAO DO CAMPO;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSELINE SIMONE BARRETO TRINDADE
EDUCACAO DO CAMPO;ACAR?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;RONALDO LOPES DE SOUSA
EDUCACAO DO CAMPO;TOM?-A??;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;RONALDO LOPES DE SOUSA
EDUCACAO DO CAMPO - INTENSIVO;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;
ENGENHARIA DE PRODUCAO;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;PAULO ROBERTO RIBEIRO MARQUES
ENGENHARIA DE PRODUCAO;BARCARENA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;PAULO ROBERTO RIBEIRO MARQUES
FISICA;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;MESSIAS DE SOUZA COSTA
FISICA;TUCURU?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;MESSIAS DE SOUZA COSTA
LETRAS - ESPANHOL;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - ESPANHOL - INTENSIVO;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - ESPANHOL - INTENSIVO;CAMET?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - ESPANHOL - INTENSIVO - ACAR?;ACAR?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;
LETRAS - PORTUGUES;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - PORTUGUES;IGARAP?-MIRI;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - PORTUGUES;TOM?-A??;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - PORTUGUES - INTENSIVO;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - PORTUGUES - INTENSIVO;ACAR?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - PORTUGUES - INTENSIVO;BARCARENA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
LETRAS - PORTUGUES - INTENSIVO;TOM?-A??;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;JOSE EDUARDO PASTANA SILVA
MATEMATICA;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;AUBEDIR SEIXAS COSTA
MATEMATICA;TOM?-A??;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;AUBEDIR SEIXAS COSTA
MATEMATICA - INTENSIVO;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;AUBEDIR SEIXAS COSTA
MATEMATICA - INTENSIVO;ACAR?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;AUBEDIR SEIXAS COSTA
MATEMATICA - INTENSIVO;BARCARENA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;AUBEDIR SEIXAS COSTA
MATEMATICA - INTENSIVO;TOM?-A??;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;AUBEDIR SEIXAS COSTA
PEDAGOGIA;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;DINAIR LEAL DA HORA
PEDAGOGIA;ACAR?;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;DINAIR LEAL DA HORA
PEDAGOGIA - INTENSIVO;ABAETETUBA;CABAE - CAMPUS UNIVERSITARIO DE ABAETETUBA;Presencial;DINAIR LEAL DA HORA
